ticker,return_contribution,abs_share,universe_name
INTC,0.2341730237007141,0.1379394059321398,pool_a_v8_2_reproduction
PLTR,0.2265673637390136,0.1334592988717311,pool_a_v8_2_reproduction
NVDA,0.20938560962677,0.1233384022899625,pool_a_v8_2_reproduction
NET,0.1188099265098571,0.0699848787986629,pool_a_v8_2_reproduction
MU,0.1096429467201233,0.064585077718228,pool_a_v8_2_reproduction
SHOP,0.1090165257453918,0.0642160850146605,pool_a_v8_2_reproduction
AMD,0.0864899396896362,0.0509468200536313,pool_a_v8_2_reproduction
TSLA,-0.0740877032279968,0.0436412939827252,pool_a_v8_2_reproduction
MSTR,0.0705405831336975,0.0415518661278629,pool_a_v8_2_reproduction
NOW,0.0665615200996398,0.0392080026784763,pool_a_v8_2_reproduction
QLD,0.0644833087921142,0.0379838342041096,pool_a_v8_2_reproduction
CRWD,0.063797116279602,0.0375796331307529,pool_a_v8_2_reproduction
SSO,0.0418925523757934,0.0246767697507438,pool_a_v8_2_reproduction
TQQQ,0.0403810262680053,0.0237864066761922,pool_a_v8_2_reproduction
UBER,-0.0375495791435241,0.0221185453311623,pool_a_v8_2_reproduction
ADBE,-0.0361045002937316,0.021267322953301,pool_a_v8_2_reproduction
NFLX,0.0358979582786559,0.0211456595677867,pool_a_v8_2_reproduction
CRM,-0.031197190284729,0.0183766764703321,pool_a_v8_2_reproduction
ORCL,0.014612078666687,0.0086072316053471,pool_a_v8_2_reproduction
AVGO,0.0134493350982666,0.0079223185673521,pool_a_v8_2_reproduction
META,0.004953110218048,0.0029176250543152,pool_a_v8_2_reproduction
GLD,0.0038089275360107,0.0022436452895077,pool_a_v8_2_reproduction
QQQ,0.0025894999504089,0.0015253425829152,pool_a_v8_2_reproduction
SNOW,-0.001658821105957,0.0009771270588189,pool_a_v8_2_reproduction
SOXX,-1.2397766113282985e-06,7.302892816285799e-07,pool_a_v8_2_reproduction
UPRO,0.0,0.0,pool_a_v8_2_reproduction
TLT,0.0,0.0,pool_a_v8_2_reproduction
SPY,0.0,0.0,pool_a_v8_2_reproduction
AAPL,0.0,0.0,pool_a_v8_2_reproduction
SHY,0.0,0.0,pool_a_v8_2_reproduction
PANW,0.0,0.0,pool_a_v8_2_reproduction
MSFT,0.0,0.0,pool_a_v8_2_reproduction
IWM,0.0,0.0,pool_a_v8_2_reproduction
GOOGL,0.0,0.0,pool_a_v8_2_reproduction
AMZN,0.0,0.0,pool_a_v8_2_reproduction
XLK,0.0,0.0,pool_a_v8_2_reproduction
PLTR,0.1647141695022583,0.1232175092382526,pool_a_v8_2_reproduction_top10_control
NVDA,0.1220430493354797,0.0912965812498166,pool_a_v8_2_reproduction_top10_control
INTC,0.1121433973312378,0.083890961769876,pool_a_v8_2_reproduction_top10_control
SHOP,0.1102097988128662,0.0824444973034582,pool_a_v8_2_reproduction_top10_control
MSTR,0.1076268315315246,0.0805122604120447,pool_a_v8_2_reproduction_top10_control
NET,0.1007621765136718,0.0753770270824792,pool_a_v8_2_reproduction_top10_control
TQQQ,0.0963478028774261,0.072074772480165,pool_a_v8_2_reproduction_top10_control
QLD,0.057777315378189,0.0432213993057582,pool_a_v8_2_reproduction_top10_control
AMD,0.0492610931396484,0.0368506802867244,pool_a_v8_2_reproduction_top10_control
MU,0.0401494562625885,0.0300345502326592,pool_a_v8_2_reproduction_top10_control
AVGO,0.032007610797882,0.0239438907478348,pool_a_v8_2_reproduction_top10_control
SNOW,-0.0316854894161224,0.0237029218351253,pool_a_v8_2_reproduction_top10_control
CRM,-0.02933149933815,0.0219419756150411,pool_a_v8_2_reproduction_top10_control
SOXX,0.0281364262104034,0.0210479788532356,pool_a_v8_2_reproduction_top10_control
ADBE,-0.0232785284519195,0.0174139377519552,pool_a_v8_2_reproduction_top10_control
ORCL,-0.0225004374980926,0.0168318722892139,pool_a_v8_2_reproduction_top10_control
SSO,0.0209462761878967,0.0156692529093786,pool_a_v8_2_reproduction_top10_control
UPRO,0.0205093681812286,0.0153424157191686,pool_a_v8_2_reproduction_top10_control
GOOGL,0.0201212108135223,0.0150520473544689,pool_a_v8_2_reproduction_top10_control
CRWD,0.0201093316078186,0.0150431608928915,pool_a_v8_2_reproduction_top10_control
NOW,0.0197460949420929,0.0147714349245065,pool_a_v8_2_reproduction_top10_control
NFLX,0.019301962852478,0.0144391936241952,pool_a_v8_2_reproduction_top10_control
GLD,0.0178815841674804,0.0133766528344782,pool_a_v8_2_reproduction_top10_control
TSLA,0.0146279096603393,0.0109426808826211,pool_a_v8_2_reproduction_top10_control
UBER,0.0142029762268066,0.0106248014953761,pool_a_v8_2_reproduction_top10_control
MSFT,0.0137365579605102,0.010275888604579,pool_a_v8_2_reproduction_top10_control
XLK,0.0125296950340271,0.0093730722637468,pool_a_v8_2_reproduction_top10_control
AAPL,0.0100313246250152,0.007504119641861,pool_a_v8_2_reproduction_top10_control
