conflict_type,involved_file,ticker,field_name,observed_value,expected_value,severity,affects_reproducibility,affects_formal_mve2_gate,recommended_fix
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,QQQ,n_rows;download_success,parquet_rows=6829; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,SPY,n_rows;download_success,parquet_rows=8371; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,ARKK,n_rows;download_success,parquet_rows=2891; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,CIBR,n_rows;download_success,parquet_rows=2722; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,IBB,n_rows;download_success,parquet_rows=6342; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,IGV,n_rows;download_success,parquet_rows=6235; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,SKYY,n_rows;download_success,parquet_rows=3728; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,SMH,n_rows;download_success,parquet_rows=6516; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,SOXX,n_rows;download_success,parquet_rows=6237; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,XBI,n_rows;download_success,parquet_rows=5091; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,XLK,n_rows;download_success,parquet_rows=6881; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,QLD,n_rows;download_success,parquet_rows=4997; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,SOXL,n_rows;download_success,parquet_rows=4061; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,SSO,n_rows;download_success,parquet_rows=4997; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,TQQQ,n_rows;download_success,parquet_rows=4080; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,UPRO,n_rows;download_success,parquet_rows=4239; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,AFRM,n_rows;download_success,parquet_rows=1331; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,COIN,n_rows;download_success,parquet_rows=1269; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,LCID,n_rows;download_success,parquet_rows=1411; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,MSTR,n_rows;download_success,parquet_rows=7016; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,RIVN,n_rows;download_success,parquet_rows=1122; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,ROKU,n_rows;download_success,parquet_rows=2159; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,UPST,n_rows;download_success,parquet_rows=1349; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,GLD,n_rows;download_success,parquet_rows=5396; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,INTC,n_rows;download_success,parquet_rows=11626; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,MU,n_rows;download_success,parquet_rows=10561; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,PANW,n_rows;download_success,parquet_rows=3465; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,SHY,n_rows;download_success,parquet_rows=5978; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,TLT,n_rows;download_success,parquet_rows=5978; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
audit_csv_vs_price_parquet_row_count,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,UBER,n_rows;download_success,parquet_rows=1754; audit_rows=0; audit_success=False,audit rows and success should match readable parquet evidence,WARNING,True,True,Regenerate or reconcile store audit metadata before any formal MVE2 design.
pack_generation_commit_delta,outputs/us_stock_selection/limited_mve2_validation_20260502_183555/manifest.json,ALL,git_commit,pack_generated_from_commit=0ddd8bb8cc6772d6d6bb6fa098bd4795808fa7a9; pack_repository_commit=02e643593c92e7c0d55f28faa210a181f6454544,Difference is explainable when pack is generated before its repository commit.,INFO,False,False,Record as provenance context; no data repair implied.
p2a_generation_commit_delta,outputs/us_stock_selection/formal_mve2_data_quality_gate_20260507_142224/manifest.json,ALL,git_commit,source_git_commit=b311cbba3ee2f205044b38402d5b90d83653bf10; repository_commit=02e643593c92e7c0d55f28faa210a181f6454544,Difference is explainable when P2-A output is generated before its repository commit.,INFO,False,False,Record as provenance context; no data repair implied.
