universe_name,ticker,selection_rows,avg_weight,max_weight
formal_pool_a_plus_small_growth_ex_high_vol,NVDA,311,0.2,0.2
formal_small_growth_only,MSTR,306,0.2,0.2
formal_small_growth_only,SHOP,290,0.2,0.2
formal_pool_a_plus_small_growth,NVDA,288,0.2,0.2
formal_pool_a_reproduction,NVDA,288,0.2,0.2
formal_pool_a_plus_small_growth_ex_high_vol,TSLA,267,0.2,0.2
formal_pool_a_plus_small_growth,MSTR,255,0.2,0.2
formal_pool_a_reproduction,MSTR,255,0.2,0.2
formal_small_growth_only,NET,214,0.2,0.2
formal_pool_a_plus_small_growth_ex_high_vol,NET,204,0.2,0.2
formal_pool_a_plus_small_growth_ex_high_vol,QLD,183,0.2,0.2
formal_small_growth_only,CRWD,183,0.2,0.2
formal_small_growth_only,INTC,169,0.20000000000000004,0.2
formal_pool_a_plus_small_growth_ex_high_vol,TQQQ,166,0.2,0.2
formal_pool_a_plus_small_growth,QLD,165,0.2,0.2
formal_pool_a_plus_small_growth,SHOP,165,0.2,0.2
formal_pool_a_plus_small_growth_ex_high_vol,SHOP,165,0.2,0.2
formal_pool_a_reproduction,QLD,165,0.2,0.2
formal_pool_a_reproduction,SHOP,165,0.2,0.2
formal_small_growth_only,CRM,164,0.20000000000000004,0.2
formal_pool_a_plus_small_growth_ex_high_vol,CRWD,161,0.2,0.2
formal_small_growth_only,PLTR,161,0.2,0.2
formal_pool_a_plus_small_growth,PLTR,150,0.2,0.2
formal_pool_a_reproduction,PLTR,150,0.2,0.2
formal_small_growth_only,NOW,147,0.2,0.2
formal_pool_a_plus_small_growth,TQQQ,146,0.2,0.2
formal_pool_a_reproduction,TQQQ,146,0.2,0.2
formal_small_growth_only,NFLX,145,0.2,0.2
formal_pool_a_plus_small_growth,TSLA,144,0.2,0.2
formal_pool_a_reproduction,TSLA,144,0.2,0.2
formal_small_growth_only,PANW,141,0.2,0.2
formal_small_growth_only,AMD,131,0.2,0.2
formal_pool_a_plus_small_growth,NET,129,0.2,0.2
formal_pool_a_reproduction,NET,129,0.2,0.2
formal_small_growth_only,AVGO,126,0.2,0.2
formal_pool_a_plus_small_growth,CRWD,124,0.2,0.2
formal_pool_a_reproduction,CRWD,124,0.2,0.2
formal_pool_a_plus_small_growth_ex_high_vol,AMD,120,0.2,0.2
