ticker,return_contribution,abs_share,strategy_id
INTC,0.2341730210146025,0.137939380670818,top5_ytdcap80p_derisk100p
PLTR,0.2265674019930702,0.1334592984952418,top5_ytdcap80p_derisk100p
NVDA,0.2093855244521701,0.12333833094533,top5_ytdcap80p_derisk100p
NET,0.1188099879499672,0.0699849029760942,top5_ytdcap80p_derisk100p
MU,0.1096429876005419,0.0645850907119391,top5_ytdcap80p_derisk100p
SHOP,0.1090165791681838,0.0642161054597863,top5_ytdcap80p_derisk100p
AMD,0.0864899962780412,0.050946844641298,top5_ytdcap80p_derisk100p
TSLA,-0.0740877211612754,0.0436412970547163,top5_ytdcap80p_derisk100p
MSTR,0.0705405480134621,0.0415518383074124,top5_ytdcap80p_derisk100p
NOW,0.0665615595461922,0.0392080191838708,top5_ytdcap80p_derisk100p
QLD,0.064483382941149,0.0379838713611105,top5_ytdcap80p_derisk100p
CRWD,0.0637971235091892,0.0375796309383073,top5_ytdcap80p_derisk100p
SSO,0.041892570619372,0.0246767762610209,top5_ytdcap80p_derisk100p
TQQQ,0.0403811051319006,0.0237864490476476,top5_ytdcap80p_derisk100p
UBER,-0.0375495741280514,0.0221185385798708,top5_ytdcap80p_derisk100p
ADBE,-0.036104461485325,0.0212672964424393,top5_ytdcap80p_derisk100p
NFLX,0.0358979693413518,0.0211456624543324,top5_ytdcap80p_derisk100p
CRM,-0.0311971657501575,0.0183766588636751,top5_ytdcap80p_derisk100p
ORCL,0.0146120272743132,0.0086071998551796,top5_ytdcap80p_derisk100p
AVGO,0.0134493702927232,0.0079223379386434,top5_ytdcap80p_derisk100p
META,0.0049531018953574,0.0029176196509949,top5_ytdcap80p_derisk100p
GLD,0.0038089174540981,0.0022436389656168,top5_ytdcap80p_derisk100p
QQQ,0.0025895237304486,0.0015253563286788,top5_ytdcap80p_derisk100p
SNOW,-0.0016588153790103,0.0009771235176303,top5_ytdcap80p_derisk100p
SOXX,-1.2415747437932725e-06,7.313483443709512e-07,top5_ytdcap80p_derisk100p
UPRO,0.0,0.0,top5_ytdcap80p_derisk100p
TLT,0.0,0.0,top5_ytdcap80p_derisk100p
SPY,0.0,0.0,top5_ytdcap80p_derisk100p
AAPL,0.0,0.0,top5_ytdcap80p_derisk100p
SHY,0.0,0.0,top5_ytdcap80p_derisk100p
PANW,0.0,0.0,top5_ytdcap80p_derisk100p
MSFT,0.0,0.0,top5_ytdcap80p_derisk100p
IWM,0.0,0.0,top5_ytdcap80p_derisk100p
GOOGL,0.0,0.0,top5_ytdcap80p_derisk100p
AMZN,0.0,0.0,top5_ytdcap80p_derisk100p
XLK,0.0,0.0,top5_ytdcap80p_derisk100p
