ticker,audit_metadata_file,audit_row_count,audit_success_flag,parquet_file,parquet_exists,parquet_readable,parquet_row_count,parquet_date_min,parquet_date_max,parquet_required_fields_present,manifest_row_count,manifest_path,row_count_match,success_flag_match,conflict_type,severity,likely_explanation,recommended_action
MSTR,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/MSTR.parquet,True,True,7016,1998-06-11,2026-05-01,True,7016,data/unified_ohlcv/us_stock_selection/prices/MSTR.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
MU,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/MU.parquet,True,True,10561,1984-06-01,2026-05-01,True,10561,data/unified_ohlcv/us_stock_selection/prices/MU.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
NET,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/NET.parquet,True,True,1667,2019-09-13,2026-05-01,True,1667,data/unified_ohlcv/us_stock_selection/prices/NET.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
NFLX,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/NFLX.parquet,True,True,6024,2002-05-23,2026-05-01,True,6024,data/unified_ohlcv/us_stock_selection/prices/NFLX.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
NOW,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/NOW.parquet,True,True,3479,2012-06-29,2026-05-01,True,3479,data/unified_ohlcv/us_stock_selection/prices/NOW.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
NVDA,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/NVDA.parquet,True,True,6861,1999-01-22,2026-05-01,True,6861,data/unified_ohlcv/us_stock_selection/prices/NVDA.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
ORCL,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/ORCL.parquet,True,True,10113,1986-03-12,2026-05-01,True,10113,data/unified_ohlcv/us_stock_selection/prices/ORCL.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
PANW,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/PANW.parquet,True,True,3465,2012-07-20,2026-05-01,True,3465,data/unified_ohlcv/us_stock_selection/prices/PANW.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
PLTR,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/PLTR.parquet,True,True,1403,2020-09-30,2026-05-01,True,1403,data/unified_ohlcv/us_stock_selection/prices/PLTR.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
QLD,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/QLD.parquet,True,True,4997,2006-06-21,2026-05-01,True,4997,data/unified_ohlcv/us_stock_selection/prices/QLD.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
QQQ,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/QQQ.parquet,True,True,6829,1999-03-10,2026-05-01,True,6829,data/unified_ohlcv/us_stock_selection/prices/QQQ.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
RIVN,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/RIVN.parquet,True,True,1122,2021-11-10,2026-05-01,True,1122,data/unified_ohlcv/us_stock_selection/prices/RIVN.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
ROKU,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/ROKU.parquet,True,True,2159,2017-09-28,2026-05-01,True,2159,data/unified_ohlcv/us_stock_selection/prices/ROKU.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
SHOP,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/SHOP.parquet,True,True,2754,2015-05-20,2026-05-01,True,2754,data/unified_ohlcv/us_stock_selection/prices/SHOP.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
SHY,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/SHY.parquet,True,True,5978,2002-07-30,2026-05-01,True,5978,data/unified_ohlcv/us_stock_selection/prices/SHY.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
SKYY,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/SKYY.parquet,True,True,3728,2011-07-06,2026-05-01,True,3728,data/unified_ohlcv/us_stock_selection/prices/SKYY.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
SMH,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/SMH.parquet,True,True,6516,2000-06-05,2026-05-01,True,6516,data/unified_ohlcv/us_stock_selection/prices/SMH.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
SNOW,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/SNOW.parquet,True,True,1413,2020-09-16,2026-05-01,True,1413,data/unified_ohlcv/us_stock_selection/prices/SNOW.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
SOXL,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/SOXL.parquet,True,True,4061,2010-03-11,2026-05-01,True,4061,data/unified_ohlcv/us_stock_selection/prices/SOXL.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
SOXX,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/SOXX.parquet,True,True,6237,2001-07-13,2026-05-01,True,6237,data/unified_ohlcv/us_stock_selection/prices/SOXX.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
SPY,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/SPY.parquet,True,True,8371,1993-01-29,2026-05-01,True,8371,data/unified_ohlcv/us_stock_selection/prices/SPY.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
SSO,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/SSO.parquet,True,True,4997,2006-06-21,2026-05-01,True,4997,data/unified_ohlcv/us_stock_selection/prices/SSO.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
TLT,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/TLT.parquet,True,True,5978,2002-07-30,2026-05-01,True,5978,data/unified_ohlcv/us_stock_selection/prices/TLT.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
TQQQ,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/TQQQ.parquet,True,True,4080,2010-02-11,2026-05-01,True,4080,data/unified_ohlcv/us_stock_selection/prices/TQQQ.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
TSLA,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/TSLA.parquet,True,True,3985,2010-06-29,2026-05-01,True,3985,data/unified_ohlcv/us_stock_selection/prices/TSLA.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
UBER,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/UBER.parquet,True,True,1754,2019-05-10,2026-05-01,True,1754,data/unified_ohlcv/us_stock_selection/prices/UBER.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
UPRO,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/UPRO.parquet,True,True,4239,2009-06-25,2026-05-01,True,4239,data/unified_ohlcv/us_stock_selection/prices/UPRO.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
UPST,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/UPST.parquet,True,True,1349,2020-12-16,2026-05-01,True,1349,data/unified_ohlcv/us_stock_selection/prices/UPST.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
XBI,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/XBI.parquet,True,True,5091,2006-02-06,2026-05-01,True,5091,data/unified_ohlcv/us_stock_selection/prices/XBI.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
XLK,data/unified_ohlcv/us_stock_selection/audit/price_quality_audit.csv,0,False,data/unified_ohlcv/us_stock_selection/prices/XLK.parquet,True,True,6881,1998-12-22,2026-05-01,True,6881,data/unified_ohlcv/us_stock_selection/prices/XLK.parquet,False,False,STALE_AUDIT_METADATA;AUDIT_ROW_COUNT_MISMATCH;AUDIT_SUCCESS_FLAG_MISMATCH,WARNING,price_quality audit records a failed refresh while parquet and store manifest show readable entity data.,Allow P2-C recheck using parquet-derived metadata; regenerate audit metadata before P3.
